Fecha,Modelo,Versión,Precio,Kilometraje,Año,Motor,Tipo
13/04/2020,BMW i3,n/a,17900,36.756,02/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,125 kW (170 CV),17990,72.465,12/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah 125 kW (170 CV),19900,19.800,08/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,19900,43.884,07/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,"94 Ah 170CV ""Sistema de navegación Business""",20900,25.742,08/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,21190,28.199,08/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,21490,43.650,08/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,25890,46.990,02/2014,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,30300,15,02/2020,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,i3s 94Ah BEV,31700,11.149,11/2018,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,i3s 94Ah BEV,32700,2.583,09/2018,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,19690,80.000,09/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,24700,16.650,01/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah Range Extender,25900,40.271,03/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,26900,20.511,09/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,28375,8.233,04/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,29375,7.247,04/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,30700,1.000,11/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33700,1,12/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,36375,9,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah Range Extender 125 kW (170 CV),36500,12.996,05/2018,125 kW (170 CV),Automático,Electro/Gasolina
13/04/2020,BMW i3,120ah S 135 kW (184 CV),40900,5.000,02/2020,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,S 120ah 135 kW (184 CV),42900,5.250,03/2019,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,14860,100.886,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,125 kW (170 CV),16900,96.644,09/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,60aH 170cv 5p 16.900€,16900,93.763,06/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,17900,126.700,10/2014,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,125 kW (170 CV),17900,63.500,09/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,17990,61.000,10/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,18000,53.489,04/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,"Electric 170cv 5p Auto # IVA DEDUCIBLE,NAVY, PARKT",18350,27.100,11/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,18400,19.393,10/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah Range Extender,19825,18.325,12/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,19900,60.000,02/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,19990,26.447,06/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,20280,54.600,12/2017,12 kW (16 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,Eléctrico de 5 Puertas,20400,48.300,06/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,20700,26.000,09/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah 170CV,20900,25.755,10/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,20990,25.096,07/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,20990,25.096,07/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,20990,25.096,07/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,20990,25.096,07/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,21190,28.199,08/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,21190,28.199,08/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,21300,31.000,01/2014,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,Range Extender,21500,30.000,08/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah batería grande. 300 kms. autonomía,21900,42.000,09/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,21990,14.119,10/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,21995,40.000,10/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,21995,43.000,06/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,22140,38.048,08/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94ah 125 kW (170 CV),22499,30.883,09/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,22500,44.000,09/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,eDrive 60Ah SH MFL Tempomat / Electric,22500,57.300,04/2014,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,22900,41.900,09/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,n/a,22900,42.000,06/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,22999,30.000,05/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,23450,65.000,04/2017,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,94Ah BEV,23900,20.000,07/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,23900,45.000,09/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,24291,9.886,05/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,24291,7.726,05/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94ah 170 CV,24291,7.726,05/2018,125 kW (170 CV),Automático,Gasolina
13/04/2020,BMW i3,94ah 170CV,24291,9.886,05/2018,125 kW (170 CV),Automático,Gasolina
13/04/2020,BMW i3,i3 Navi Bus. Klima PDC,24740,11.900,05/2015,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94ah 125 kW (170 CV),24900,37.463,05/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94ah 125 kW (170 CV),24900,19.068,05/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender,25000,60.600,01/2015,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,25160,19.921,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,Range Extender 125 kW (170 CV),25500,21.486,12/2015,125 kW (170 CV),Automático,Electro/Gasolina
13/04/2020,BMW i3,94 Ah Range Extender,25500,16.000,09/2016,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,i3s 94Ah REX,29990,10.500,10/2018,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,s 94Ah BEV,30000,22.000,07/2018,135 kW (184 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,94ah 125 kW (170 CV),30300,6.950,04/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,30900,7.350,09/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,31400,4.577,11/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah REX,31400,17.424,04/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah Range Extender,31500,58.200,08/2016,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,Range Extender REX 94Ah NaviProf Kamera Parkas,31790,26.100,09/2016,125 kW (170 CV),Automático,Electro/Gasolina
13/04/2020,BMW i3,120Ah,31800,1.070,11/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,31890,6.000,08/2018,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),31900,3.942,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94Ah BEV,31900,27.000,12/2017,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,94 Ah,31900,41.400,04/2017,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94ah REX 5p. - Híbrido enchufable,31995,59.000,06/2016,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),32490,7.325,05/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),32500,7.251,01/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),32500,9.492,01/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),32500,7.990,01/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),32500,10.165,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,32700,3.525,11/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,32900,7.436,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,s 94Ah,32900,10.485,11/2017,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),32900,540,01/2020,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah Range Extender,33000,10.300,02/2017,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,33200,8.528,03/2019,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,33200,7.204,03/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33300,15,01/2020,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33590,6.015,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33590,10.000,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33700,1.071,10/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33700,1,12/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,33900,18,12/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33900,5.708,01/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33900,6.250,01/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120ah 125 kW (170 CV),33900,4.860,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,i3s 94Ah BEV,33900,11.143,08/2018,135 kW (184 CV),Automático,Eléctrico
13/04/2020,BMW i3,94 Ah,33900,19.900,10/2017,125 kW (170 CV),-/- (Cambio),Eléctrico
13/04/2020,BMW i3,120Ah,34390,6.995,04/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,34390,6.959,03/2019,125 kW (170 CV),Automático,Eléctrico
13/04/2020,BMW i3,120Ah,34390,5.049,03/2019,125 kW (170 CV),Automático,Eléctrico
